result in + 결과	결과가 되다
starch	녹말
protein	단백질
age‒old	오래된
for last	마지막으로
fill up on	~을 채우다
move on to	~로 이동하다
sugary	설탕이 든
inauthentic	실효성 없는
rote‒memory	기계적 암기
handshake	악수
fall apart	분리되다
in a mess	난잡하게
be disconnected from	~와 단절되다
the very	바로 그
ring false	잘못 되다
go wrong	잘못 되다
goal‒oriented	목표지향적인
mind‒set	사고방식
cross the finish line	결승선을 통과하다
no longer	더 이상 ~ 않은
push ~ forward	앞으로 밀고 나가다
long‒term	장기적인
goal‒less	목표 지향적이지 않은
cycle	순환
never-ending	끝없는
make up ~ mind	결정하다
involving	~와 관련된
get into the habit	습관을 기르다
in one's time of need	곤경에 빠진
out of the way	일상에서 벗어난
down	우울한
melancholy	우울함
be in shape	준비되다
facial muscular	안면근육
crossways	옆으로
recover from	~로부터 회복하다
connect to	~에 접속하다
