lifetime	평생
opposite effect	역효과
side effect	부작용
chemicals	화학물질
polluter	오염원
recovery	회복
Turkish	터키의
plastic bag	비닐봉지
installment	할부
front yard	앞마당
backyard	뒷마당
sickle	낫
generalization	일반화
round trip	왕복
physicist	물리학자
common good	공익
blacksmith	대장장이
examination	조사
bracket	계층
patient	환자
deceased	사망한
fool	속이다
cheat	속이다
summon	불러내다
shopkeeper	가게주인
be fooled	~에 속다
zoology	동물학
cardiac	심장의
dinosaur	공룡
dualism	이원론
the chances are	아마도
such as	…같은
analyse	분석하다
browse	훑어보다
relativism	상대주의
dictator	독재자
heterogeneity	이질성
alchemist	연금술사
photosynthesis	광합성
move on	옮기다
glacier	빙하
iceberg	빙산
break	휴식
alone	혼자서
sense of satisfaction	만족감
(all)by oneself	혼자서
vs.(versus)	대(對)
sociology	사회학
civil rights	시민권
make sure	확인하다
blinded	눈먼
beast	짐승
saint	성자
anatomist	해부학자
playwright	극작가
rewrite	개작하다
overturn	뒤집다
physics	물리학
doer	실행가
exact	정확한
multiple-choice	선다형
worn (out)	낡은
international	국제적인
shipping cost	수송비
shipping charge	배송료
hunger	배고픔
badly off	궁핍한
for long	오랫동안
stingy	인색한
in particular	특히
kingdom	왕국
fluorescent lighting	형광등
manmade	인공의
wavelength	파장
be off	부족하다
quietude	정적
mathematician	수학자
fantasize	공상하다
cosmetics	화장품
hump	혹
overcrowded	붐비는
millenium	천년
burning	갈망하는
now and again	때때로
well-to-do	부유한
sightseeing	관광
posting	게시
antibiotic	항생제
make notes	적어두다
out of question	틀림없이
gene	유전자
turn away	외면하다
feel down	우울하다
the number of~	~의 수
a number of~	많은
table	표
workings	작동방식
symbolic	상징적인
a variety of~	다양한
globalization	세계화
individualism	개인주의
plateau	고원
geological	지질학의
cruelty	잔인함
petition	청원서
cosmetic	화장품
chances are (that)~	아마도
recruitment	채용
imitative	모방적인
complain	불평하다
out of order	고장 난
dealer	판매인
armpit	겨드랑이
field of vision	시야
sometime	언젠가
be left behind	뒤처지다
native speaker	원어민
nursing	간호(학)
storehouse	창고
processed food	가공식품
in the moment	당장은
millionaire	백만장자
misstep	실수
heal	치유되다
business	사업체
undivided	완전한
inconvenient	불편한
be in a hurry	서두르다
absent­mindedly	멍하니
serial	연속되는
be against	반대하다
lid	뚜껑
irresponsible	무책임한
for a little	잠시동안
for a minute	잠시동안
fragrance	향기
wild flower	야생화
daily	일상의
get to one's feet	일어서다
go away	사라지다
starch	녹말
protein	단백질
age‒old	오래된
handshake	악수
in a mess	난잡하게
the very	바로 그
mind‒set	사고방식
long‒term	장기적인
never-ending	끝없는
make up ~ mind	결정하다
down	우울한
be in shape	준비되다
facial muscular	안면근육
crossways	옆으로
eldest	첫째
verified	검증된
cancel	취소하다
chimp	침팬지
right angle	직각
works	작동하다
multiple‒choice	선다형의
face‒to‒face	면대면의
satire	풍자
on one's feet	일어서서
unsure	불확실한
digestion	소화
spacecraft	우주선
survival	생존
surfaces	표면
crews	승무원
drawer	서랍장
step on	~을 밟다
by mistake	실수로
newest	최신의
indoor	실내의
on top of (that)	~외에도
heart disease	심장병
heart attack	심장마비
reportage	보도
hold on	잡다
rock	흔들리다
pregnancy	임신
be depleted	고갈되다
be preserved	보존되다
upon + N	N 직후에
human race	인류
mankind	인류
rays of light	광선
coded	암호화된
retina	망막
possessor	소유자
socialization	사회화
funeral	장례식
clinician	임상의
succeed to	물려받다
come down	무너지다
walking trail	산책로
spring	원천
(in)habitant	거주자
leather	가죽
discriminative	차별적인
pricing	가격책정
truthfulness	진정성
right off the bat	즉시
plentifulness	풍족함
solar	태양의
lunar	달의
ecosystem	생태계
latterly	최근에
greenhouse	온실가스
chew	씹다
exposed	노출된
digestive enzyme	소화효소
that is to say	즉
a mouthful of	한입의
pack ice	유빙
in no small measure	상당히
track and field	육상경기
businesswoman 26	여사업가
washerwoman	세탁부
maid	가정부
on site	현장에서
odour	냄새
molecule	분자
upshot	결과
fruits	결과
culture	사육
respire	호흡하다
consultant	자문가
be united	합쳐지다
usher	안내하다
sets of	일련의
go bankrupt	파산하다
leadership	수뇌부
pierce	관통하다
glance back	반사하다
dilate	팽창하다
sociologist	사회학자
sign	신호
giver	제공자
provider	제공자
offerer	제공자
in-group	내집단
side by side	나란히
kind	종류
intactly	온전히
prize money	상금
shaking	떨리는
one's full strength	전력
victorious	승리의
builder	건축업자
assistance	도움
under construction	공사중인
joyfully	기쁘게
merrily	기쁘게
publishing house 20	출판사
disappointment	실망
letdown	실망
of value	가치있는
pay­off	이득
of consequence	중요한
do well	성공하다
open	진솔한
stored	저장된
around + 숫자	약, 대략
about + 숫자	약, 대략
a third	3분의 1
participation fee	참가비
goat	염소
aquarium	수족관
musical instrument	악기
sense of control	통제감
hold ~ in	~을 참다
holdback	보류하다
effectual	효과적인
bored	지루한
every now and then	이따금
keep from	~을 막다
legally	법적으로
meaning	의미
fanbase	팬층
rising	증가하는
increasing	증가하는
rubber	고무
chemical fomula	화학식
hydrogen	수소
atom	원자
get better	발전하다
on a daily basis	매일
pair	짝
the other person	상대
tumble	넘어지다
round up	~을 몰다
doe	암사슴
pain	고통
elude	피하다
in large part	대체로
